Unnamed: 0,price,full_address,zipcode,beds,baths,latitude,longitude
2945,449900,"883 Barnaby St SE, Washington, DC 20032",20032,4,3,38.83143,-76.99184
2947,159900,"212 Oakwood St SE #212-116, Washington, DC 20032",20032,1,1,38.84814,-77.00437
2948,569990,"The Maple Plan, District Towns at St. Elizabeths East",20032,3,3,38.845356,-76.9936
2949,159900,"212 Oakwood St SE APT 116, Washington, DC 20032",20032,1,1,38.84812,-77.00466
2950,399900,"907 Barnaby St SE, Washington, DC 20032",20032,3,4,38.83265,-76.990166
2953,450000,"1917 Valley Ter SE, Washington, DC 20032",20032,3,3,38.84094,-76.97715
2954,688762,"1127 Sycamore Dr SE LOT 924, Washington, DC 20032",20032,3,3,38.8451,-76.99262
2955,689000,"231 Valley Ave SE, Washington, DC 20032",20032,6,4,38.83618,-76.99517
2956,1500000,"3613 Brothers Pl SE, Washington, DC 20032",20032,3,2,38.83958,-77.00646
2959,139999,"725 Brandywine St SE APT 101, Washington, DC 20032",20032,2,1,38.82987,-76.99476
2960,147500,"713 Brandywine St SE APT 201, Washington, DC 20032",20032,2,1,38.82987,-76.99547
2961,189900,"212 Oakwood St SE APT 122, Washington, DC 20032",20032,1,1,38.84814,-77.00437
2962,134369,"4729 1st St SW APT 303, Washington, DC 20032",20032,2,1,38.82267,-77.00581
2963,189900,"212 Oakwood St SE APT 218, Washington, DC 20032",20032,1,1,38.84814,-77.00437
2964,125000,"44 Galveston Pl SW APT A, Washington, DC 20032",20032,2,1,38.82417,-77.00926
2965,130000,"450 Condon Ter SE APT 303, Washington, DC 20032",20032,1,1,38.8322,-76.99929
2966,569900,"801 Sycamore Dr SE LOT 941, Washington, DC 20032",20032,3,3,38.845676,-76.99398
2967,659990,"827 Sycamore Dr SE LOT 962, Washington, DC 20032",20032,3,4,38.845703,-76.994064
2968,750000,"121 Raleigh St SE, Washington, DC 20032",20032,4,3,38.8404,-77.00638
2976,675000,"1501 1st St NW #1, Washington, DC 20001",20001,2,2,38.90985,-77.01197
2977,1749999,"2 Lois Mailou Jones NW, Washington, DC 20010",20010,6,5,38.93009,-77.01881
2978,1375000,"1844 3rd St NW #302, Washington, DC 20001",20001,3,3,38.91516,-77.01589
2980,750000,"2614 4th St NE #A, Washington, DC 20002",20002,3,3,38.923744,-77.00081
2981,1299999,"514 T St NW, Washington, DC 20001",20001,4,4,38.91555,-77.0192
2982,354500,"2131 10th St NW APT 1, Washington, DC 20001",20001,1,1,38.91903,-77.02582
2983,549000,"333 N St SW #333, Washington, DC 20024",20024,2,1,38.87522,-77.01652
2984,247000,"1301 Longfellow St NW APT 104, Washington, DC 20011",20011,1,1,38.95759,-77.0301
2985,1890000,"26 New York Ave NW, Washington, DC 20001",20001,10,12,38.90675,-77.01007
2986,674900,"1016 Galloway St NE, Washington, DC 20011",20011,3,3,38.95378,-76.99226
2987,1155000,"4628 4th St NW, Washington, DC 20011",20011,4,4,38.94722,-77.01761
2988,379000,"14 P St NW #203, Washington, DC 20001",20001,1,1,38.9095,-77.00942
2989,775000,"1211 Van St SE APT 1211, Washington, DC 20003",20003,2,2,38.876377,-77.00822
2990,995000,"125 Jefferson St NW, Washington, DC 20011",20011,5,4,38.95576,-77.01281
2993,429999,"1345 K St SE UNIT 103, Washington, DC 20003",20003,1,1,38.87823,-76.98661
2995,399000,"413 36th St NE, Washington, DC 20019",20019,2,1,38.8951,-76.95455
2996,1399000,"608 Tennessee Ave NE, Washington, DC 20002",20002,4,4,38.8977,-76.98408
2997,339000,"5200 Ames St NE, Washington, DC 20019",20019,3,1,38.89092,-76.92766
2998,449500,"819 D St NE #8, Washington, DC 20002",20002,1,1,38.8946,-76.99402
2999,350000,"1113 45th St NE, Washington, DC 20019",20019,3,2,38.90542,-76.93692
3000,470000,"222 20th St NE APT 4, Washington, DC 20002",20002,2,2,38.892838,-76.97645
3001,455000,"329 61st St NE, Washington, DC 20019",20019,3,1,38.894,-76.91341
3002,695000,"2512 Elvans Rd SE, Washington, DC 20020",20020,6,4,38.8543,-76.98972
3004,799500,"1839 E St NE, Washington, DC 20002",20002,3,4,38.89596,-76.97781
3006,549900,"5107 Call Pl SE, Washington, DC 20019",20019,6,3,38.88414,-76.9283
3007,539900,"5031 E Capitol St SE, Washington, DC 20019",20019,4,4,38.889717,-76.92866
3008,359000,"3456 21st St SE, Washington, DC 20020",20020,2,2,38.84533,-76.97383
3009,179900,"7 18th St SE APT 201, Washington, DC 20003",20003,1,1,38.88898,-76.97919
3010,424900,"1019 17th Pl NE #402, Washington, DC 20002",20002,2,2,38.90327,-76.97986
