id,full_address,zipcode,latitude,longitude,property_type,price,amenities
2477325,"115 New York Ave NW, Washington, DC 20001, USA",20001,38.90641,-77.01277,Private Room In Townhouse,99.0,"['Hot water', 'Fire extinguisher', 'Smoke alarm', 'Free street parking', 'Wifi', 'Hair dryer', 'Essentials', 'Smart lock', 'Washer', 'Dishes and silverware', 'Coffee maker', 'Lock on bedroom door', 'Air conditioning', 'Carbon monoxide alarm', 'Self check-in', 'Shampoo', 'Microwave', 'Kitchen', 'Iron', 'Heating', 'Free parking on premises', 'Dryer']"
2477330,"55 M St NW #102, Washington, DC 20001, USA",20001,38.90588,-77.01133,Private Room In Townhouse,88.0,"['Hot water', 'Refrigerator', 'Fire extinguisher', 'Smoke alarm', 'Free street parking', 'Wifi', 'Hair dryer', 'Hangers', 'Essentials', 'Washer', 'Dishes and silverware', 'Coffee maker', 'Lock on bedroom door', 'Air conditioning', 'Carbon monoxide alarm', 'Self check-in', 'Shampoo', 'Kitchen', 'Keypad', 'Iron', 'Heating', 'Free parking on premises', 'Dryer']"
2622950,"910 Euclid St NW, Washington, DC 20001, USA",20001,38.923941580467734,-77.02475935089437,Entire Home,222.0,"['Ceiling fan', 'Hot water', 'Freezer', 'Refrigerator', 'Fire extinguisher', 'Smoke alarm', 'Cooking basics', 'Wifi', 'Hangers', 'Essentials', 'Hot water kettle', 'BBQ grill', 'Toaster', 'Smart lock', 'TV', 'Dishes and silverware', 'Dining table', 'Private backyard', 'Body soap', 'Dishwasher', 'Fire pit', 'Shower gel', 'Books and reading material', 'Central heating', 'Bed linens', 'Clothing storage', 'Air conditioning', 'Carbon monoxide alarm', 'Stove', 'Outdoor furniture', 'Shampoo', 'Microwave', 'Oven', 'Kitchen', 'Wine glasses', 'Self check-in', 'Outdoor dining area', 'Bathtub', 'Coffee maker: Nespresso', 'Conditioner']"
3601131,"1246 11th St NW, Washington, DC 20001, USA",20001,38.90708,-77.02728,Entire Condo,139.0,"['Hot water', 'Freezer', 'Refrigerator', 'Smoke alarm', 'Cooking basics', 'Wifi', 'Hangers', 'Essentials', 'Smart lock', 'Long term stays allowed', 'Dishes and silverware', 'Dining table', 'Free washer – In unit', 'Body soap', 'Dishwasher', 'Stainless steel oven', 'Dedicated workspace', 'Free dryer – In unit', 'TV with standard cable', 'Bed linens', 'Private patio or balcony', 'Air conditioning', 'Stove', 'Self check-in', 'Microwave', 'Kitchen', 'Wine glasses', 'Conditioner', 'Bathtub', 'Iron', 'Heating', 'Pets allowed', 'Coffee', 'Coffee maker: drip coffee maker', 'Clothing storage: closet', 'Cleaning products']"
3627430,"1909 2nd St NW, Washington, DC 20001, USA",20001,38.91587,-77.01432,Entire Rental Unit,143.0,"['Paid street parking off premises', 'Hot water', 'Freezer', 'Refrigerator', 'Smoke alarm', 'Cooking basics', 'Wifi', 'Hair dryer', 'Coffee maker: french press', 'Hangers', 'Essentials', 'Toaster', 'TV', 'Washer', 'Dishes and silverware', 'Dishwasher', 'Extra pillows and blankets', 'Bed linens', 'Air conditioning', 'Carbon monoxide alarm', 'Stove', 'Clothing storage: closet', 'Outdoor furniture', 'Shampoo', 'Microwave', 'Oven', 'Kitchen', 'Wine glasses', 'Private entrance', 'Exterior security cameras on property', 'Self check-in', 'Conditioner', 'Outdoor dining area', 'Bathtub', 'Iron', 'Heating', 'Portable fans', 'Pets allowed', 'Blender', 'Coffee', 'Lockbox', 'Dryer']"
3821808,"133 Thomas St NW, Washington, DC 20001, USA",20001,38.9166,-77.01353,Private Room In Home,104.0,"['Hot water', 'Paid parking on premises', 'Fire extinguisher', 'Smoke alarm', 'Free street parking', 'Cooking basics', 'Wifi', 'Hair dryer', 'Essentials', 'Washer', 'Dishes and silverware', 'Host greets you', 'Coffee maker', 'Dedicated workspace', 'TV with standard cable', 'Air conditioning', 'Carbon monoxide alarm', 'Shampoo', 'Microwave', 'Kitchen', 'First aid kit', 'Heating', 'Dryer']"
3821950,"1919 3rd St NW, Washington, DC 20001, USA",20001,38.91701,-77.01559,Private Room In Home,109.0,"['Hot water', 'Paid parking on premises', 'Refrigerator', 'Backyard', 'Fire extinguisher', 'Smoke alarm', 'Free street parking', 'Cooking basics', 'Wifi', 'Hair dryer', 'Central air conditioning', 'Essentials', 'Courtyard view', 'Washer', 'Dishes and silverware', 'Host greets you', 'Dishwasher', 'Coffee maker', 'Dedicated workspace', 'TV with standard cable', 'Carbon monoxide alarm', 'Stove', 'Shampoo', 'Microwave', 'Kitchen', 'First aid kit', 'Heating', 'Garden view', 'Dryer']"
3822053,"153 U.S. Rte 1, Washington, DC 20001, USA",20001,38.91512,-77.01401,Private Room In Home,145.0,"['Hot water', 'Paid parking on premises', 'Refrigerator', 'Fire extinguisher', 'Smoke alarm', 'Free street parking', 'Cooking basics', 'Wifi', 'Hair dryer', 'Hammock', 'Central air conditioning', 'Essentials', 'BBQ grill', 'Courtyard view', 'Dishes and silverware', 'Host greets you', 'Dishwasher', 'Coffee maker', 'Dryer –\xa0In unit', 'Dedicated workspace', 'Carbon monoxide alarm', 'Stove', 'Private backyard – Fully fenced', 'Outdoor furniture', 'Shampoo', 'Microwave', 'Oven', 'Kitchen', 'Shared patio or balcony', 'Exterior security cameras on property', 'Washer –\xa0In unit', 'Outdoor dining area', 'First aid kit', 'Heating', 'Indoor fireplace: gas', 'Garden view', 'HDTV with standard cable']"
3822134,"219 Rhode Island Ave NW, Washington, DC 20001, USA",20001,38.91518,-77.01494,Private Room In Home,129.0,"['Hot water', 'Paid parking on premises', 'Fire extinguisher', 'Smoke alarm', 'Free street parking', 'Wifi', 'Hair dryer', 'Essentials', 'BBQ grill', 'Courtyard view', 'Host greets you', 'Private backyard – Not fully fenced', 'Dryer –\xa0In unit', 'Dedicated workspace', 'Air conditioning', 'Carbon monoxide alarm', 'Outdoor furniture', 'Shampoo', 'Kitchen', 'Washer –\xa0In unit', 'Outdoor dining area', 'First aid kit', 'Heating', 'Garden view', 'HDTV with standard cable', 'Indoor fireplace']"
3898306,"911 M St NW, Washington, DC 20001, USA",20001,38.90593,-77.02447,Entire Rental Unit,123.0,"['Hot water', 'Freezer', 'Refrigerator', 'Fire extinguisher', 'Smoke alarm', 'Baking sheet', 'Cooking basics', 'Wifi', 'Radiant heating', 'Hair dryer', 'Room-darkening shades', 'Hangers', 'Central air conditioning', 'HDTV with Amazon Prime Video, Roku, standard cable', 'Essentials', 'Hot water kettle', 'Smart lock', 'Toaster', 'Long term stays allowed', 'Dishes and silverware', 'Dining table', 'Free washer – In unit', 'Dishwasher', 'Coffee maker', 'Paid parking lot off premises', 'Luggage dropoff allowed', 'Extra pillows and blankets', 'Clothing storage: walk-in closet and dresser', 'Crib', 'Cleaning available during stay', 'Dedicated workspace', 'Free dryer – In unit', 'Bed linens', 'Carbon monoxide alarm', 'Stove', 'Self check-in', 'Shampoo', 'Microwave', 'Oven', 'Kitchen', 'Wine glasses', 'Private entrance', 'Iron', 'Portable fans', 'Single level home', 'Coffee', 'Conditioner', 'Cleaning products']"
